,mcg,gvh,alm,mit,erl,pox,vac,nuc,Probability0,Probability1,Probability2,Probability3,Probability4,cluster_label,Max_prob,Min_prob
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0.6005725910607823,0.27291871855871674,0.6382208288225079,0.35585348775761927,0.5870320862121226,2,0.6382208288225079,0.27291871855871674
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0.5980556087829542,0.30724277871760697,0.6213883923983903,0.39638787172007706,0.616445061673451,2,0.6213883923983903,0.30724277871760697
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0.5772787914916815,0.2572124268582876,0.6153078630239882,0.3364270665307637,0.635218608734663,2,0.6153078630239882,0.2572124268582876
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,0.5957798286707419,0.3120672292483291,0.6304214199011836,0.40245655797251617,0.44763098794300843,2,0.6304214199011836,0.3120672292483291
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0.6584301971349398,0.3625042793130457,0.6226217082875216,0.43186779102658984,0.3895504844076579,0,0.6584301971349398,0.3625042793130457
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0.6605110712572444,0.3811354026608784,0.6994285092995228,0.4922276476294917,0.4262727841342927,2,0.6994285092995228,0.3811354026608784
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0.6606761117369888,0.28568398206327805,0.6274124233103537,0.32955662745698544,0.42152700458912296,0,0.6606761117369888,0.28568398206327805
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,0.6081343155277104,0.35439739678932636,0.6436407560334635,0.46616973308698395,0.3900163906352905,2,0.6436407560334635,0.35439739678932636
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0.6723546680421486,0.31114340170823307,0.6642906002213016,0.37516473915878484,0.47579803609814364,0,0.6723546680421486,0.31114340170823307
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0.5196961100361839,0.3949901882405571,0.5510207682270998,0.5156026742782356,0.33235004487488246,2,0.5510207682270998,0.3949901882405571
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,0.6461991514540009,0.43479646084260853,0.6812230609488654,0.5713454701317898,0.4182957697795894,2,0.6812230609488654,0.43479646084260853
