,mcg,gvh,alm,mit,erl,pox,vac,nuc,distance_from_0,distance_from_1,distance_from_2,closest,Probability_0,Probability_1,Probability_2
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0.7665078096289838,0.25419385885927576,0.23760816864305975,2,0.2842060712242621,0.47438229620965777,0.4823158640011276
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0.7666860867105623,0.2381054573734014,0.23956153368202113,1,0.2826675878817625,0.4795519523946199,0.47885419627434317
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0.7724684819172596,0.23110816920424804,0.27646738796657083,1,0.2842903210915964,0.48850821400453465,0.4668448928745047
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,0.761442198871472,0.31931243946417043,0.18728942000358414,2,0.2856420077256968,0.4444640013925574,0.5071932447843804
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0.8029824960040468,0.3171175247511333,0.33892309198157317,1,0.29160976392145577,0.47403514038593203,0.4638104183314546
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0.279167014925156,0.5980582572205421,0.5155006396915957,0,0.4915694998521214,0.357348712539649,0.3881025886411536
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0.8435209277519768,0.3140298371688922,0.4587905231890844,1,0.29104478427789743,0.49421381319235547,0.4276082863716262
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,0.7601891577466464,0.32136256748449105,0.1324636485374812,2,0.27825875770287617,0.43154770220994854,0.5212746035705681
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0.7661641831589073,0.22996533283434317,0.251124173402973,1,0.28312567470219396,0.48400233428753414,0.4738689890323156
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0.7745326906521693,0.41626234670136536,0.15593622533855897,2,0.28573970233257606,0.4088513361391353,0.5304245533869382
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,0.7558753571558976,0.3449227337748343,0.07857969069779223,2,0.2713560788019753,0.40927386384197406,0.5341771731130295
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,0.7650278135829807,0.3805351657376824,0.11945975862981206,2,0.27957164382771066,0.4106540925379641,0.5331627065982752
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,0.7617398214321972,0.3121854765118066,0.1680268892370989,2,0.2823543951691194,0.44262253762737497,0.5112588074930565
