,mcg,gvh,alm,mit,erl,pox,vac,nuc,distance_from_0,distance_from_1,distance_from_2,closest,Probability_0,Probability_1,Probability_2
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34835309987834223,0.47743839379263137,0.4403917136472185
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35210514510679575,0.4746227887332089,0.44119404553264663
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3498403090668169,0.4758680882769639,0.43944755647594996
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35226101986247027,0.47313145231037385,0.44298556217158713
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3690265358277074,0.45597419887152413,0.4372788798401379
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3617756612331173,0.42502761534017425,0.4132740963135036
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3667556960054578,0.4455917809691123,0.4266954749850783
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,0.3114754098360654,0.10683898305084624,0.05098765432098745,2,0.3760481080114128,0.438799612627216,0.4575658325920994
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35434517197568177,0.4724611375596018,0.4418473555221546
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,0.35147540983606546,0.0668389830508462,0.09098765432098749,1,0.3811345635317635,0.4441710937078967,0.4520177028150509
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.36275422840154475,0.45718406230135367,0.4508029952558032
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,0.36147540983606546,0.0568389830508462,0.1009876543209875,1,0.3741150870617778,0.44875797430250547,0.4530100036968539
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.36409592015778713,0.46117215896105246,0.4476132588683418
13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36127638548822155,0.4662567414512736,0.43926202975934747
14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34767004563303555,0.4788740516857107,0.4390861810845474
15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35351281784669475,0.47090497543569454,0.44471816717549995
16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,0.2514754098360654,0.16683898305084624,0.009012345679012546,2,0.4013270698283134,0.4217624189111208,0.4568518978876566
17,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,0.39147540983606544,0.026838983050846227,0.13098765432098747,1,0.3572843939372508,0.46662042063859516,0.4467987633239944
18,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.356547027007421,0.46904037655245234,0.4446621020835408
19,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.34947847770715634,0.47526101582651803,0.4423292296982771
20,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3525913626491858,0.4713266298802965,0.4443316153270496
21,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34447355082992237,0.47570580889710434,0.4400940643229538
22,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3528204291884045,0.47022647481798097,0.435067193958509
23,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.351459800859125,0.47288323724051695,0.4437833401112609
24,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34871527724910145,0.47526787106225926,0.4424026686379625
25,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3621254309401489,0.46524349575738944,0.4389055833127544
26,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.35741582525221344,0.4656508467788368,0.446843365654332
27,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3469871649861582,0.4771805214032568,0.44153245226766924
28,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3502508961469131,0.47524463465818184,0.43900509132013793
29,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,0.32147540983606543,0.09683898305084623,0.06098765432098746,2,0.36360422844945817,0.42256682959664216,0.41168692560445996
30,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,0.33147540983606544,0.08683898305084622,0.07098765432098747,2,0.3727704385629492,0.4515308933665206,0.45142252066682026
31,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35631314134761355,0.4086253639431651,0.3962256436090869
32,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,0.18147540983606547,0.2368389830508462,0.0790123456790125,2,0.4226343183922882,0.408590028232179,0.44857373709015447
33,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3653902505694506,0.4619355579989005,0.44165940488521893
34,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35247018647852624,0.45567562073003737,0.4262946375557377
35,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35359813897599895,0.4651477447411127,0.43260700038120736
36,0.72,0.61,0.45,0.3,0.5,0.0,0.54,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.3574885002758032,0.4682963367734576,0.4387881078970342
37,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,0.39147540983606544,0.026838983050846227,0.13098765432098747,1,0.36294803355821736,0.4592830902018032,0.4500068059111116
38,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35460058890015367,0.47391517260416277,0.43854939367522394
39,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34049149935030676,0.4832960171639727,0.43540987520193636
40,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35224980446261706,0.4497573127766383,0.4220804502272269
41,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35146549195091725,0.44339995633975937,0.41725576731536634
42,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35548304965257926,0.4628430102848268,0.4319909510327298
43,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35161921115877054,0.4740934954942651,0.4422338635643881
44,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,0.39147540983606544,0.026838983050846227,0.13098765432098747,1,0.3725757035252429,0.4528610737380743,0.449766165926399
45,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,0.28147540983606545,0.1368389830508462,0.02098765432098748,2,0.39965344656225454,0.4303401115239693,0.44953312359785524
46,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,0.30147540983606547,0.1168389830508462,0.0409876543209875,2,0.37595763699026685,0.4324072017672629,0.4267674893181481
47,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34676242147704206,0.4757349259739772,0.440489826922587
48,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35350581284608723,0.47087262458640555,0.43668885113546063
49,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.37288172704217826,0.4479811582223478,0.43696275058943873
50,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,0.3714754098360654,0.046838983050846245,0.11098765432098745,1,0.35869627802860415,0.457540911077129,0.4503130887691232
51,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,0.008524590163934587,0.4268389830508462,0.26901234567901255,0,0.4854226888079279,0.36190326356082225,0.4194754960075031
52,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,0.27147540983606544,0.14683898305084622,0.010987654320987472,2,0.3980031209190738,0.4290818237150104,0.4533537227319149
53,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3389228770486905,0.4818772612224061,0.4359361555349888
54,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3465323547518988,0.4796355888749286,0.4393225464617481
55,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3460434702588289,0.4799131964564936,0.43948238932838146
56,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.352526476415649,0.4707918717060452,0.43863453792792795
57,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34301796642657606,0.4796526997732103,0.43705543985950873
58,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3514788210149512,0.47167423442255085,0.44428242585754063
59,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3668516732418542,0.44082642561148466,0.4236424034539873
60,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.37194039523031097,0.4523190282433292,0.4369373461513493
61,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.373803807630817,0.45268617970939373,0.4470352094656119
62,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,0.22147540983606545,0.1968389830508462,0.03901234567901252,2,0.4014746312706394,0.40555813474894925,0.45971117519771454
63,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.36538683011964807,0.4568937435808566,0.4508429848757108
64,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.3625442977805603,0.46231370953160505,0.4476405950055721
65,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,0.36147540983606546,0.0568389830508462,0.1009876543209875,1,0.35429130418019994,0.46449044300240955,0.4466422265320957
66,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3663378344756011,0.45813612576241797,0.4446148785491446
67,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3485826591644102,0.47535140233385564,0.44285183462266436
68,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35905019567810054,0.46647557096212905,0.4453423187619877
69,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34962489189716073,0.438987750710627,0.4137051106910398
70,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3444285628116392,0.47647912340095355,0.43960508231853057
71,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,0.36147540983606546,0.0568389830508462,0.1009876543209875,1,0.35176020886052745,0.46496213886827,0.4453232506489625
72,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3642399358454325,0.45102763593030043,0.42862907867650507
73,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36754285060001407,0.4422439249426595,0.42554430203446875
74,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34333289903949094,0.47734095023363815,0.4402627826865917
75,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.37360505403134625,0.4505139098561799,0.43764936079946765
76,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3513117650799087,0.47660277793844374,0.4389704698667755
77,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.37321996688040054,0.45390985234908204,0.4405118513422243
78,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3552968185426791,0.46998640395086166,0.4383496459920722
79,0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3622658707005384,0.46489390051808555,0.4396735850272798
80,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36444206931595086,0.4631023573688516,0.440042088781523
81,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3568001777728342,0.4713034307570587,0.4394173011337248
82,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3662625830665529,0.45353587211657925,0.4330864442999804
83,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35196373776349615,0.4747735633051344,0.4413037082335723
84,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3208731231905418,0.36526665050644275,0.35401184291932475
85,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36867236308430357,0.44221119415672994,0.42924987344607884
86,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36293000694138566,0.46389664940655245,0.4433980287072528
87,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3537894767655751,0.4629230709240034,0.43120512001108247
88,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,0.30147540983606547,0.1168389830508462,0.0409876543209875,2,0.36846401488121405,0.4377770886786935,0.4577806256084257
89,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,0.33147540983606544,0.08683898305084622,0.07098765432098747,2,0.3786771194800267,0.4454607202873045,0.45240674243623713
90,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,0.32147540983606543,0.09683898305084623,0.06098765432098746,2,0.3932536482405966,0.4361312183727205,0.44673131429141205
91,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.3600642960330665,0.45956070289468937,0.4492947370727872
92,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35265109588029414,0.4707335042441942,0.4448840140065672
93,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,0.13147540983606543,0.2868389830508462,0.12901234567901254,2,0.44912893082182254,0.3890306038567371,0.4398612469509392
94,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,0.3714754098360654,0.046838983050846245,0.11098765432098745,1,0.34957809919616983,0.46749096278537666,0.44473684829933574
95,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35753055744435336,0.4695203580947527,0.4431247128108022
96,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3537383184025735,0.4673804267751646,0.43434015835129486
97,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.355443412010433,0.4671957967898005,0.43481607112145904
98,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35292769302786353,0.4545527275932911,0.4253594918258714
99,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3505666170124075,0.47535908122338044,0.43975668875050533
100,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36020656823294694,0.46646098424801247,0.4420083320932322
101,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3646474459954663,0.4612337146956706,0.44400524820776577
102,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35230285214177287,0.47487868858975374,0.440960636362849
103,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,0.18147540983606547,0.2368389830508462,0.0790123456790125,2,0.4333801270518559,0.4023384903703696,0.44222809832776644
104,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.34921410860082674,0.47348137972622145,0.4427427223803476
105,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3549843501362813,0.47160064259501283,0.44184807952818916
106,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36247038558631683,0.4636566310436741,0.4457633052585581
107,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3631390467008449,0.4622817371695862,0.444809922633586
108,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3531343388816428,0.47081838311525687,0.43828697095757846
109,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3659757591855969,0.4594059194397745,0.4424866513004648
110,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.3703810728210406,0.4160709978307947,0.4102353245596613
111,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3437599231836248,0.47874374040784456,0.4385888810795687
112,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,0.1014754098360654,0.31683898305084623,0.15901234567901257,0,0.46106117081887915,0.3804057014894563,0.4315134130009806
113,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.3756629962206135,0.4533189470577041,0.4453447869373146
114,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,0.34852459016393456,0.7668389830508462,0.6090123456790125,0,0.4883756095080133,0.32543364991813506,0.3810882582728341
115,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3697074727777679,0.4500482238080216,0.43256269150801274
116,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.354648080544421,0.4708258396455919,0.43772552071132625
117,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36236140342858986,0.46541480573288085,0.4410435455668605
118,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3652410509594815,0.4574097888166595,0.4405586626370344
119,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35816869232313614,0.46763139473049703,0.44490758183047463
120,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35544462964088763,0.46819663211559415,0.435427148783408
121,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3563797492164262,0.4717771713170006,0.4398596953999608
122,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3555402924270215,0.4688589503963983,0.436019128477482
123,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,0.34147540983606545,0.07683898305084622,0.08098765432098748,1,0.37142823576869555,0.456914924339664,0.4459873775566957
124,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3512497174632047,0.476966133832997,0.4390815293466119
125,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3462942263633269,0.479256092468017,0.4401088689394473
126,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.36984015633181677,0.4538755903558438,0.4511738652000625
127,0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3630445426550906,0.45472717821730896,0.4315492655274974
128,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,0.40147540983606544,0.016838983050846218,0.14098765432098748,1,0.36091078827332973,0.4635075587652511,0.44599615328678777
129,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,0.22147540983606545,0.1968389830508462,0.03901234567901252,2,0.4203940043238709,0.41373039924390653,0.44563937188234926
130,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35056308256939267,0.47461787031395813,0.44210906281458695
131,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,0.34147540983606545,0.07683898305084622,0.08098765432098748,1,0.36948386678510403,0.4526567084968174,0.45182459079080173
132,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,0.39147540983606544,0.026838983050846227,0.13098765432098747,1,0.35186635632180807,0.47123597115172056,0.44442155475489586
133,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,0.3814754098360654,0.036838983050846236,0.12098765432098746,1,0.36269019538534764,0.4654639655450564,0.44373615398851274
134,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.35806417120042566,0.4673218244335127,0.44480500651722754
135,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,0.34147540983606545,0.07683898305084622,0.08098765432098748,1,0.37522430112526495,0.4464575690405594,0.4539821471125098
136,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,0.061475409836065475,0.35683898305084616,0.1990123456790125,0,0.469743351617129,0.3728474219316413,0.4304960242301275
137,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3399811657560357,0.4804692631646925,0.4376381900875339
138,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,0.35147540983606546,0.0668389830508462,0.09098765432098749,1,0.3916800841321935,0.4343484749207244,0.445522829128473
139,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.36898146470385745,0.4568089812761587,0.44205500766353834
140,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,0.43147540983606547,0.013161016949153781,0.17098765432098748,1,0.3548513882751248,0.4692475743619455,0.4455869407447002
