,Unnamed: 0,mcg,gvh,alm,mit,erl,pox,vac,nuc,class_protein_localization,distance_from_0,distance_from_1,distance_from_2,closest,Probability_0,Probability_1,Probability_2,Probability0,Probability1,Probability2,cluster_label,Max_prob,Min_prob
0,0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,MIT,0.18589480214072346,0.3997444570112111,0.23491958689041326,0,0.4620709247038264,0.3731083056255077,0.4399643105448803,0.3536994880710796,0.2926010238578409,0.3536994880710796,0,0.3536994880710796,0.2926010238578409
1,1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,MIT,0.26786067874244546,0.30502706972353977,0.2427952612365725,2,0.4291674392168225,0.4135096092480201,0.4400606513944156,0.3388175504261743,0.32236489914765143,0.3388175504261743,0,0.3388175504261743,0.32236489914765143
2,2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22,MIT,0.13974056464800788,0.4011956927141223,0.27558266192456393,0,0.4803097150767578,0.3698050620598376,0.4193009996602957,0.35434044982765045,0.29131910034469904,0.35434044982765045,0,0.35434044982765045,0.29131910034469904
3,3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,NUC,0.3050724606221639,0.3875432215356718,0.18524412900668008,2,0.4182101344052729,0.3851039351106582,0.4714496698901055,0.3489508592038814,0.3020982815922373,0.3489508592038814,0,0.3489508592038814,0.3020982815922373
4,4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,MIT,0.4501522125339829,0.12484006839109753,0.3516907142875333,1,0.36095675975035385,0.4997311811867632,0.3983056479869197,0.3015354543569025,0.3969290912861949,0.3015354543569025,1,0.3969290912861949,0.3015354543569025
5,5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT,0.6021878154979321,0.6011925595483414,0.5084548946177944,2,0.3881250874041045,0.3885115634959422,0.4262647357879181,0.33851063445622126,0.3229787310875575,0.33851063445622126,0,0.33851063445622126,0.3229787310875575
6,6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,MIT,0.452666408586874,0.17822200170455996,0.471576431522975,1,0.3809952607732328,0.5013133441553693,0.3738583241440237,0.3004591059703078,0.3990817880593843,0.30045910597030784,1,0.3990817880593843,0.3004591059703078
7,7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,NUC,0.3515406805274154,0.3290722900635339,0.13343870852304174,2,0.3886930875868718,0.39752524628716623,0.4834229900939167,0.3434497842883698,0.3131004314232605,0.3434497842883698,0,0.3434497842883698,0.3131004314232605
8,8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,MIT,0.3156891147774437,0.20084708730727294,0.262471867536693,1,0.403354396549673,0.4524411045053554,0.4254012404189277,0.32343027816912673,0.3531394436617466,0.3234302781691267,1,0.3531394436617466,0.3234302781691267
9,9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,CYT,0.4456463991545056,0.3945252092263681,0.15189770025991306,2,0.3715138617281255,0.3909999242500871,0.4983660639753947,0.3449495706254353,0.3101008587491295,0.3449495706254353,0,0.3449495706254353,0.3101008587491295
10,10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,NUC,0.3895317184193341,0.3158697043511364,0.08064321153225097,2,0.36446007591632695,0.3923204688683452,0.4963620109255359,0.34346534754539526,0.31306930490920953,0.34346534754539526,0,0.34346534754539526,0.31306930490920953
11,11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,NUC,0.4258054745074009,0.3393505093057765,0.12079432023496504,2,0.3658366204776597,0.3988724959521443,0.4963086422862255,0.3418450124135139,0.31630997517297216,0.3418450124135139,0,0.3418450124135139,0.31630997517297216
12,12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,CYT,0.40556492064797584,0.2012644916945618,0.17977787174517265,2,0.3658839965583973,0.4488176869341349,0.4585656119518392,0.32375354784499627,0.3524929043100075,0.32375354784499627,1,0.3524929043100075,0.32375354784499627
13,13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,MIT,0.3475856463844953,0.155738416714052,0.3207405683695768,1,0.3932934145591469,0.4764692390147176,0.4039943986944242,0.31296698684956137,0.3740660263008773,0.31296698684956137,1,0.3740660263008773,0.31296698684956137
14,14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,MIT,0.14633663830194374,0.3633109502856507,0.2592453087861017,0,0.4719477182069422,0.3798946209437517,0.421558915070315,0.3508346761539243,0.29833064769215156,0.3508346761539242,0,0.3508346761539243,0.29833064769215156
15,15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22,CYT,0.3607821042928919,0.3951196685560154,0.11340098916315952,2,0.38818196241518393,0.3750789888498391,0.4971318686184975,0.35120551984558984,0.2975889603088203,0.3512055198455899,2,0.3512055198455899,0.2975889603088203
16,16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,CYT,0.4103924292139042,0.42508400960858733,0.1593199191493012,2,0.3859458569471581,0.3803171508980275,0.4960960725941673,0.3493625321070842,0.3012749357858316,0.3493625321070842,0,0.3493625321070842,0.3012749357858316
