,mcg,gvh,alm,mit,erl,vac,nuc,distance_from_0,distance_from_1,distance_from_2,distance_from_3,closest,Probability_0,Probability_1,Probability_2,Probability_3
0,0.58,0.61,0.47,0.13,0.5,0.48,0.22,0.22317123112493617,0.19051005091623133,0.39990434515826856,0.3960968238521243,1,0.2693672332820773,0.27831033618594997,0.22573065896326766,0.22659177156870514
1,0.43,0.67,0.48,0.27,0.5,0.53,0.22,0.23265250948436858,0.27353672581514626,0.30364445633783416,0.38971453153297075,0,0.266947088372603,0.2562532597998624,0.2486530424648206,0.22814660936271394
2,0.64,0.62,0.49,0.15,0.5,0.53,0.22,0.26489858052844384,0.14262505245244078,0.400056663506508,0.4208353788454139,1,0.25911742011523253,0.29281905149667903,0.22635922658104823,0.22170430180704023
3,0.58,0.44,0.57,0.13,0.5,0.54,0.22,0.17319340432749236,0.30990628516869617,0.3920983707378636,0.36338825957792603,0,0.285517140364708,0.2490339375992086,0.22938391790141446,0.23606500413466883
4,0.42,0.44,0.48,0.54,0.5,0.48,0.22,0.3458740884839865,0.455500067381074,0.12648428832242334,0.444210816416368,2,0.24704597696350247,0.22139501007369122,0.30765045773231475,0.22390855523049152
5,0.51,0.4,0.56,0.17,0.5,0.49,0.22,0.10958682627866141,0.3540949165617707,0.3509829504334234,0.33166193376717995,0,0.2967821165775008,0.23240700466435274,0.23313137391255523,0.23767950484559122
6,0.5,0.54,0.48,0.65,0.5,0.53,0.22,0.46603247748684,0.4559103249846852,0.16760785434903905,0.5408246527081136,2,0.2333262814162161,0.23570003912071721,0.3144617498214145,0.21651192964165228
7,0.48,0.45,0.59,0.2,0.5,0.58,0.34,0.15244917018930718,0.3583050171253625,0.3402852825376933,0.2275434622200208,0,0.28008404182825736,0.22797451823559645,0.23211979477102412,0.259821645165122
8,0.55,0.5,0.66,0.36,0.5,0.49,0.22,0.25334674885868935,0.32043994860117725,0.20084056028256542,0.39302554974788817,2,0.25915768356374513,0.242340434939698,0.2731286369623011,0.22537324453425564
9,0.4,0.39,0.6,0.15,0.5,0.58,0.3,0.16240049693348002,0.4523936577021061,0.405712308012836,0.2778507282680289,0,0.2921191563148543,0.21858361700101253,0.22902930791403975,0.26026791877009336
10,0.43,0.39,0.54,0.21,0.5,0.53,0.27,0.08416416478683429,0.3965246028426548,0.326518363310526,0.26981408100798804,0,0.29876964741025325,0.2186150517129205,0.23446789447281746,0.24814740640400876
11,0.42,0.37,0.59,0.2,0.5,0.52,0.29,0.13013896037369738,0.43276062743683735,0.3510775100310085,0.2665122979842616,0,0.29298351120470695,0.2164792423637681,0.2349042024830375,0.2556330439484874
12,0.4,0.42,0.57,0.35,0.5,0.53,0.25,0.176779979391571,0.41231129167079006,0.2118008964339979,0.3172576493765956,0,0.27588648333761545,0.21799195895451565,0.2663919103938858,0.23972964731398308
13,0.6,0.4,0.52,0.46,0.5,0.53,0.22,0.31313585978404257,0.35161411418941385,0.15614028243048583,0.42655555125937017,2,0.2484460346646506,0.2390678500872476,0.290679485273281,0.22180662997482092
14,0.66,0.55,0.45,0.19,0.5,0.46,0.22,0.2479056562131031,0.15016857607114517,0.3627427584471885,0.4069137561902423,1,0.25993108024753564,0.286618940487539,0.23173151015266896,0.22171846911225646
15,0.46,0.44,0.52,0.11,0.5,0.5,0.22,0.09619805966178038,0.3670138307528382,0.40152225832689004,0.33269259164040227,0,0.30404085719344504,0.2319092937377239,0.22404297639821397,0.24000687267061718
16,0.47,0.39,0.5,0.11,0.5,0.49,0.4,0.18888823155308881,0.417430745544925,0.4384119043565147,0.1862336479896116,3,0.27952305654409304,0.22241439084251127,0.21779649301225334,0.2802660596011423
17,0.58,0.47,0.54,0.11,0.5,0.51,0.26,0.16722076243610806,0.2854831014950539,0.402025279817822,0.33107514165412116,0,0.2834423755058381,0.25182804725642977,0.2241250879014263,0.2406044893363057
18,0.5,0.34,0.55,0.21,0.5,0.49,0.22,0.13907972820980877,0.39556401643009387,0.33728768295741685,0.3370248498572418,0,0.2928788301031954,0.22662001816891547,0.24021900296228973,0.2402821487655994
19,0.61,0.6,0.55,0.21,0.5,0.5,0.25,0.22544886375711515,0.15528102086904885,0.3261797559255069,0.369313814886122,1,0.26022223028126695,0.27913731820293025,0.23528677883847332,0.22535367267732945
20,0.45,0.4,0.5,0.16,0.5,0.5,0.22,0.07319795608281113,0.37942636881900726,0.3646351318703543,0.32098965798356716,0,0.3063791290399796,0.22556196399577672,0.22892310085862252,0.23913580610562124
21,0.43,0.44,0.48,0.22,0.5,0.51,0.22,0.050172331105893836,0.3534004889457023,0.30535135772257216,0.3123649476692405,0,0.30463924175089124,0.2249549375880105,0.236027715333169,0.23437810532792933
22,0.73,0.63,0.42,0.3,0.5,0.49,0.22,0.36252186889015603,0.07696615908977453,0.3466622935663254,0.48247299806905336,1,0.23621390773297846,0.3142828865792756,0.23999002465154926,0.20951318103619662
23,0.43,0.53,0.52,0.13,0.5,0.55,0.22,0.1185437214625382,0.33766764994435816,0.38708341389173095,0.34011791170966094,0,0.2968262986098568,0.23841746364722707,0.2269222441719159,0.23783399357100024
24,0.46,0.53,0.52,0.15,0.5,0.58,0.22,0.12551134673681533,0.31172129612303795,0.3693111319297319,0.3415583966325306,0,0.29244544344175516,0.2427587572597596,0.22917326792175047,0.23562253137673475
25,0.51,0.51,0.52,0.51,0.5,0.54,0.22,0.3278188595813538,0.35655032950639587,0.061397913351012634,0.43537139251597157,2,0.23952146886817804,0.2327375871030672,0.31264363620492985,0.2150973078238249
26,0.59,0.45,0.53,0.19,0.5,0.59,0.27,0.17538010977716909,0.2727727058657485,0.3447017313501505,0.3188471847124795,0,0.2764121151793645,0.25076100818041624,0.2333574274192748,0.2394694492209445
