,mcg,gvh,alm,mit,erl,vac,nuc,distance_from_0,distance_from_1,distance_from_2,distance_from_3,closest,Probability_0,Probability_1,Probability_2,Probability_3
0,0.58,0.61,0.47,0.13,0.5,0.48,0.22,0.22317123112493617,0.19051005091623133,0.39990434515826856,0.3960968238521243,1,0.7999778564578848,0.826537450228633,0.6703841684603136,0.6729415359911497
1,0.43,0.67,0.48,0.27,0.5,0.53,0.22,0.23265250948436858,0.27353672581514626,0.30364445633783416,0.38971453153297075,0,0.7924288872097142,0.7606843990882323,0.7381232548477196,0.6772501804762872
2,0.64,0.62,0.49,0.15,0.5,0.53,0.22,0.26489858052844384,0.14262505245244078,0.400056663506508,0.4208353788454139,1,0.7672837635437157,0.8670791171421717,0.6702820644274441,0.6564981660001389
3,0.58,0.44,0.57,0.13,0.5,0.54,0.22,0.17319340432749236,0.30990628516869617,0.3920983707378636,0.36338825957792603,0,0.8409749509203561,0.7335156943029005,0.6756376477175786,0.6953164178254914
4,0.42,0.44,0.48,0.54,0.5,0.48,0.22,0.3458740884839865,0.455500067381074,0.12648428832242334,0.444210816416368,2,0.707601576684936,0.6341307805286196,0.8811879943764045,0.6413302036395794
5,0.51,0.4,0.56,0.17,0.5,0.49,0.22,0.10958682627866141,0.3540949165617707,0.3509829504334234,0.33166193376717995,0,0.8962043468954962,0.7018083509582494,0.7039957565758214,0.7177299220957721
6,0.5,0.54,0.48,0.65,0.5,0.53,0.22,0.46603247748684,0.4559103249846852,0.16760785434903905,0.5408246527081136,2,0.6274869045187208,0.6338706769126151,0.845685401521451,0.5822678855446471
7,0.48,0.45,0.59,0.2,0.5,0.58,0.34,0.15244917018930718,0.3583050171253625,0.3402852825376933,0.2275434622200208,0,0.8586025354515782,0.6988598782627508,0.7115672960800378,0.7964878036170477
8,0.55,0.5,0.66,0.36,0.5,0.49,0.22,0.25334674885868935,0.32043994860117725,0.20084056028256542,0.39302554974788817,2,0.7761986891457306,0.725829639085085,0.8180428496774707,0.6750115009921391
9,0.4,0.39,0.6,0.15,0.5,0.58,0.3,0.16240049693348002,0.4523936577021061,0.405712308012836,0.2778507282680289,0,0.8501006736410517,0.6361037133051911,0.6665018870978049,0.7574098729599819
10,0.43,0.39,0.54,0.21,0.5,0.53,0.27,0.08416416478683429,0.3965246028426548,0.326518363310526,0.26981408100798804,0,0.9192803302476528,0.6726537273038412,0.7214311270631651,0.7635214342772194
11,0.42,0.37,0.59,0.2,0.5,0.52,0.29,0.13013896037369738,0.43276062743683735,0.3510775100310085,0.2665122979842616,0,0.877973418928951,0.6487157579747546,0.703929190167674,0.7660465828394458
12,0.4,0.42,0.57,0.35,0.5,0.53,0.25,0.176779979391571,0.41231129167079006,0.2118008964339979,0.3172576493765956,0,0.8379641336204707,0.6621181321087362,0.8091257813582017,0.7281431253330757
